编号,题名,作者,作者机构,日期,期刊,专辑,专题,引用数,下载数,关键词,摘要,URL,爬取时间
46,智慧图书馆建设进程中的“交互驱动”探析,程越欣;张晓阳,1. 江苏大学科技信息研究所2. 江苏大学图书馆,2022-06-15,图书馆,信息科技,计算机软件及计算机应用;图书情报与数字图书馆,3,391,智慧图书馆; 数据交互; 人文交互; 交互驱动,“交互”即服务，是智慧图书馆的核心特性之一，能否充分发挥交互思维在智慧图书馆建设进程中的驱动作用，关系到智慧图书馆的建设成效。文章受技术领域的产品交互设计与社会学范畴的人际互动理论启发，提出“交互驱动”概念，归纳智慧图书馆建设的若干“驱动”理念，提出智慧图书馆“交互驱动”系统框架，分别从“数据交互驱动”和“人文交互驱动”2个视角的6个方面探讨“交互驱动”的实现，并分析“交互驱动”面临的挑战，以期能为协同高效地全面推进智慧图书馆建设进程提供参考。,https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8Ujy6_Ku-xQiOS8ewRjU5c-0NWinfOc9TcrJ0Lu1_F52SczT0AdMuJdoxOseXcxhN4-WLbeeah_khBRzb_SeI-KCvhDuHfi83murU-BrWUu-oHit3pp2gZvKnEdKa33A-KXLfiotYD3mg==&uniplatform=NZKPT&language=CHS,2024-06-28
47,两岸关系族谱资料数据库建设与应用,林艳,福州市图书馆,2022-06-15,图书馆,信息科技,计算机软件及计算机应用;图书情报与数字图书馆,0,336,台湾; 族谱; 数据库; 文化遗产,族谱是珍贵的人文资料，具有社会、经济、文化和政治等多方面的价值。为了更好地开发和利用两岸族谱资源，让族谱承载的文化得以保存和延续，文章盘点了两岸族谱现藏情况和两岸族谱数据库建设现状，针对两岸族谱数据库在检索、内容揭示深度、溯源和体验等方面存在的不足，提出以B/S架构、大数据分布式文件系统等为技术路线，运用人工智能识别技术，挖掘姓氏谱牒数据资源，建成先进可扩展、标准开放化和可持续运行的谱牒展示应用平台。,https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8XmB4B8zZMKBncKs_9YR06x6oJkfT3OKkM4Z-p3y8q4AXDczslGk-_cLXEp7o7G87o5oIY5I5OExTgzIC5LUpPhfGGuh9R32w2TmtgyfnC2qzYLGRIpIWKZBACkgicH90mw46_EBbAbaw==&uniplatform=NZKPT&language=CHS,2024-06-28
48,元宇宙视域下的图书馆虚拟服务,杨新涯;涂佳琪,重庆大学图书馆,2022-05-30 09:01,图书馆论坛,信息科技,计算机软件及计算机应用;图书情报与数字图书馆,49,3318,元宇宙; 智慧服务; 虚拟服务; 虚拟展厅; 虚拟数字人,文章调研图书馆虚拟服务研究与实践情况，基于图书馆系统发展情况，分析图书馆信息化发展现状与不足，提出应在元宇宙视域下，从虚拟导览、虚拟展厅、虚拟数字人、VR读书等角度切入图书馆元宇宙的虚拟服务体系，且应积极转变观念，研究数字资源确权的法律和技术保障，逐渐构建起读者喜欢的虚拟化服务，探索知识服务在元宇宙中的应用。,https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8XmB4B8zZMKBncKs_9YR06x6oJkfT3OKkM4Z-p3y8q4AYMNe0rY8l7s3XEXpl0r1KUNNuEfPH2u0CDtkRFdCvhLESkbsK01_uJCshM3h4u_xkLAFdrPi11ckPAyY8qPiG-FPT2xp75lAg==&uniplatform=NZKPT&language=CHS,2024-06-28
49,日本图书馆人工智能研究与应用前沿,韦景竹;叶彦君,1. 中山大学信息管理学院2. 湖北省宜昌市伍家乡人民政府,2022-05-26 13:48,图书馆论坛,信息科技,计算机软件及计算机应用;自动化技术;图书情报与数字图书馆,7,1304,日本; 图书馆; 人工智能; 智慧图书馆,日本较早从事图书馆人工智能研究，近年在应用领域取得了新成果。文章采用文献研究与案例分析法，分析日本图书馆人工智能特色实践应用，探讨日本图书馆应用人工智能的特点。研究发现：日本图书馆主要围绕机器人应用、智能空间建设、古籍草书文本识别等开展智能服务；呈现出重视文化遗产的保护和利用、公共文化机构和民间企业联动合作以及活用开放获取的大数据环境等特点。我国可在借鉴日本经验的同时，结合自身优势和实际，探索与我国高质量发展相适应的智慧图书馆建设路径。,https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8UAUnGSoNafvIoj8ARBVwp__ZeoBS45exva_WYitrEimUwLkt_Hvsaz_obmMWJcL05VhwPGHORi0OP0v34EFTS74tseKgYte7AY8T4gAI5l2GSSnRI8VBa30yB5wawy4N_l-SCO7snbcA==&uniplatform=NZKPT&language=CHS,2024-06-28
50,《国际图联趋势报告2021年新进展》解读与启示,向君;杨玉娟,南京图书馆,2022-05-25,图书馆学研究,信息科技,图书情报与数字图书馆,7,593,国际图联趋势报告2021年; 国际图联; 图书馆价值; 智慧图书馆; 信息素养,"中国已经积极参与到全球治理中，中国图书馆界也在世界图书馆舞台上崭露头角。关注和研读《国际图联趋势报告》有助于我国图书馆界更好地参与到全球图书馆事业建设中，并为我国图书馆的转型发展提供参考和借鉴。文章介绍了《国际图联趋势报告2021年新进展》(IFLA Trend Report 2021 Update)的主要内容，并结合历年《国际图联趋势报告》,利用宏观环境分析LEPEST模型和战略规划SWOT模型进行分析，结果表明该报告具有以下特点：报告重视外部宏观环境变化、报告内容体现了图书馆事业的传承与发展、报告结论更加公平客观。最后，基于报告提及的大数据应用广泛、极端气象灾害频发、数字鸿沟扩大等趋势，结合SWOT模型中的SO战略和ST战略，本文提出我国图书馆应提高国际影响力、用数据赋能智慧图书馆、在突发事件中彰显图书馆价值、用信息素养消弭数字鸿沟等建议。",https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8UAUnGSoNafvIoj8ARBVwp__ZeoBS45exva_WYitrEimUj8bzWLDmfR-1lB5W8o5_hXdD4l_W05Ij97G864gg7yBgoTu8iUiJoZTkHBU3Nlcfdx7QiQRWsk0jpsqdnOqfI4KunfFKAgoQ==&uniplatform=NZKPT&language=CHS,2024-06-28
51,数字时代图书馆法治化治理模式之提倡,童云峰,东南大学网络安全法治研究中心东南大学法学院,2022-05-20,新世纪图书馆,信息科技,计算机软件及计算机应用;图书情报与数字图书馆,5,363,网络社会; 图书馆数字化; 治理模式; 法治化,图书馆数字化带来诸多法律风险，而传统治理方式存有不足，故难以取得实效，需寻找有效的治理方案。通过法教义学溯源和规范验证，可以明确法治化治理能够保护图书馆多元法益、提升服务质量和实现实质正义，是数字化图书馆治理的方向。因此，需要发挥图书馆的内部力量以实现自律法治，协调图书馆的中间力量以完成前置法治，调动图书馆外部力量以构筑保障法治。通过三层递进逻辑实现图书馆法治化治理，保障图书馆数字化的迭代升级。,https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8XUQwOHRbtLav153VUnDckV1gpVU3XjdNPVBGgZPfXqy_qDunLUZChZKH5I0C6MDwBxcDAbbby79ZbD7B3KWg--Zjb8ShoKMB1V3JiQ0e2gZmDmR-3v74Idpf5kLQ1bka-fJ92cQTo8Og==&uniplatform=NZKPT&language=CHS,2024-06-28
52,基于多策略混合问答系统模型的图书馆咨询机器人的设计与应用,刘泽;徐潇洁;邵波,1. 南京大学信息管理学院2. 南京大学图书馆,2022-05-20,新世纪图书馆,信息科技,图书情报与数字图书馆,10,518,多策略混合; 咨询服务; 智能咨询机器人; 系统框架,随着人工智能技术的发展，智能咨询机器人可作为智慧图书馆咨询服务的新选择。论文从图书馆咨询服务的实际需求出发，搭建图书馆智能咨询机器人系统框架，基于知识库、文本硬匹配、相似度匹配、深度学习等技术，分别构建面向寒暄类和咨询类的问答子系统和面向任务类的对话子系统，并研究其应用效果。图书馆通过多策略混合的问答系统模型构建智能咨询机器人，能够提高问答系统的性能，为读者提供更优质准确的参考咨询服务。,https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8XUQwOHRbtLav153VUnDckV1gpVU3XjdNPVBGgZPfXqy_qDunLUZChZObjVkJvT09oGbhdC5PtMvUG5rMTQYJJvr56LhRNn-5copPonWPfbUCFqHISRnDzqx7kqVbeaLpEn3ojLxdhVHA==&uniplatform=NZKPT&language=CHS,2024-06-28
53,数字经济环境下图书馆组织与服务变革研究,张毅君;牛金虎;陈浩义,山东工商学院图书馆,2022-05-20,新世纪图书馆,信息科技,图书情报与数字图书馆,1,360,数字技术; 图书馆; 组织创新; 服务创新,论文分析了数字经济环境下图书馆信息服务的新特征，并以新特征为动因研究图书馆组织与服务变革模式。研究表明：数字经济环境下，个性化信息需求日益增强、信息服务目标侧重于提高用户价值、信息服务替代化特征突出、信息服务更多依赖于智力资本提升。图书馆组织和服务变革模式包括：组织结构的网络化与扁平化、营销模式的精准化与精细化、信息服务模式的模块化与柔性化、信息服务内容的版本化与迭代化、信息服务过程的开放化与开源化、人力资本的多元化与弹性化。,https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8WwlWmcasK9EG3ZqVB_OVbyhJgG82j9n7Yi3gnEuXeA3zs2gU7JXLrXI3hc2qb9kjR0S79PvQOhgBFxY6gvI3YBi3tpqd-vVLG4TzQnqBFjl98gOpsSgOWkqitQnRqZJveFDW9t6aRcYg==&uniplatform=NZKPT&language=CHS,2024-06-28
54,新技术背景下高校智慧图书馆建设优化策略研究,单轸;陈雅,南京大学信息管理学院,2022-05-15,图书馆,信息科技,计算机软件及计算机应用;图书情报与数字图书馆,12,1231,高校图书馆; 智慧图书馆; 智慧化建设,新型技术驱动图书馆的智慧化转型，而高校图书馆是智慧图书馆转型的先驱。现有的高校智慧图书馆建设策略存在着重点聚焦管理层而非服务层、话语权缺失、浅层次技术引入和发展失衡的问题。文章从聚焦服务、重建影响力、完善评价体系和弥合不均衡布局四个方面提出了高校图书馆智慧化建设的优化策略，以不断深化高校图书馆用户服务与学科建设，保障高校图书馆的可持续发展。,https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8XEBlzplLU9A5UNArzpEw9jboSrMVBr-TENyY2Vx0zJ2funJ1o02uEWneeQE8hPaOpR3T-sXo6ZMScV1AU4b15sfBpa40DPYcNwqZk3iDD_w5ZF7mG6CeNivYZbHYuwEra54zjBwQbmkw==&uniplatform=NZKPT&language=CHS,2024-06-28
55,元宇宙视域下智慧图书馆的创新发展研究,田丽梅;廖莎,1. 渤海大学2. 湖南图书馆,2022-05-15,图书馆,信息科技,计算机软件及计算机应用;图书情报与数字图书馆,39,2491,元宇宙; 智慧图书馆; 虚实共生; 区块链,2021年元宇宙作为虚实共生的赋能者火遍全球，元宇宙的出现为智慧图书馆的创新发展提供了强大的技术支撑。文章论述了元宇宙的概念、属性特征及元宇宙与图书馆的历史因缘，提出在虚拟与现实深度融合的元宇宙视域下，智慧图书馆发展存在着不可多得的发展机遇，同时也面临种种挑战。智慧图书馆应抓住机遇，以元宇宙的多元数字技术为推手，打造沉浸式体验创新发展新形态，实现智慧图书馆转段升级的新突破。,https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8XEBlzplLU9A5UNArzpEw9jboSrMVBr-TENyY2Vx0zJ2funJ1o02uEWnUQBLbxDPPC6Ze2MxK_FTqisWGxBuw9WkmYrMRDMUo7ffn5Myz6kef7iNIAvJNNulH2g4JrA7_AxCJL2Xvq75Q==&uniplatform=NZKPT&language=CHS,2024-06-28
56,“5G+人工智能”的大数据知识服务体系构建研究,熊莉君;连书勤;张灿,1. 南昌大学图书馆2. 江西水利职业学院公共教学部,2022-05-10,图书馆理论与实践,信息科技,图书情报与数字图书馆,14,1278,5G; 人工智能; 云计算; 大数据; 知识服务,文章通过对“5G+人工智能”的大数据知识服务相关研究进行梳理总结，阐明从“5G+人工智能”视角提出构建基于“5G+人工智能”的大数据知识服务业务新生态的理论依据，分析基于“5G+人工智能”的大数据知识服务体系构建框架体系和服务模式，进而提出若干思考与建议，以期为基于“5G+人工智能”的大数据知识服务研究提供参考借鉴。,https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8VcMyXoeOzdVF8VsA49kO0F85BllrDwZehvxle8tnUVEIBViGjxhqRNCDgEZycswO1YSMCuextTGly46V2ZNnGhWI7qcGHnDLMVDnQO_oIbPq-NF3IOzZ872hniMMPPt5L7aar6lnbuSg==&uniplatform=NZKPT&language=CHS,2024-06-28
57,创新驱动背景下人工智能在图书馆的应用研究与展望,李宇;鲁超;马波,东北大学图书馆,2022-05-10,图书馆理论与实践,信息科技,计算机软件及计算机应用;图书情报与数字图书馆,6,922,创新驱动; 人工智能; 智能图书馆; 智慧服务; 智慧图书馆,如何快速开展智慧图书馆建设，构建智能高效的文献信息服务体系已成为图书馆界广泛关注的课题。文章着重研究在创新驱动背景下，人工智能技术在国内外图书馆的应用现状、存在的不足及应对策略，梳理未来发展前景，为图书馆建设下一代智慧服务体系、提升管理水平、开展智慧化服务提供借鉴参考。,https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8VcMyXoeOzdVF8VsA49kO0F85BllrDwZehvxle8tnUVEIBViGjxhqRNvy1OqqXyk0yuzKnKj6NB1dGHC1QWGzD7qh1kjvTrObMgY3tieBDTtHdtkyP0MdN5hmbBnzjPgpSPQvttWHXtjw==&uniplatform=NZKPT&language=CHS,2024-06-28
58,图书馆转型背景下的社区知识服务模式研究,刘双;钱澄澄;周聪,1. 徐州医科大学图书馆2. 空军勤务学院图书馆,2022-05-10,图书馆理论与实践,信息科技,图书情报与数字图书馆,3,437,图书馆; 图书馆转型; 知识服务; 社区; 社区知识服务,知识服务环境的发展趋势为多元复杂化、方式更加智慧化、需求更加细分化、供需方更加主观能动化、内容更加跨学科交叉化，根据社区居民多样性、情景化、随机性、持续性的知识需求特点，总结出图书馆面向社区开展知识服务应具备的功能，基于图书馆环境、空间、资源与管理四个转型变革维度，构建社区知识服务模型，明确其自助体验的服务模式，提出图书馆转型背景下的社区知识服务的相关策略。,https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8VRprkT8_2mfKUwazwpVEQ0QSO4yQ2RoZNZVnwbOtEUotrzEKZutLzjMIq3fE3kX8HvuElW9WA-N7IGl0J5lK0JEZ_OBbxAnhhI1zZRnQjcDt8jojvrclS3YcKfAqU_Krz3YZR0xAaQZg==&uniplatform=NZKPT&language=CHS,2024-06-28
59,元宇宙赋能虚拟图书馆：理念、技术、场景与发展策略,郭亚军;李帅;张鑫迪;李捷,郑州航空工业管理学院信息管理学院,2022-04-25 13:53,图书馆建设,信息科技,计算机软件及计算机应用;图书情报与数字图书馆,53,5459,元宇宙; 虚拟图书馆; 虚拟现实; 沉浸式服务; 技术赋能,元宇宙是数字技术发展到一定程度的理想化状态，也是人们对“虚拟数字天堂”的美好幻想，图书馆应该紧跟时代发展的浪潮，推动元宇宙为自己赋能，向智能化、沉浸化发展。元宇宙赋能虚拟图书馆的核心理念包括虚实融合、随时随地、技术整合以及人人可及，基础技术包括感官赋能的接入类技术、算力赋能的构建类技术、内容赋能的映射类技术、生态赋能的应用类技术，局部应用场景包括可视化的资源检索系统、能动型的自主学习空间、虚拟化的参考咨询社区、参与式的远程教育服务、交互式的个性化推荐服务。基于此，元宇宙赋能虚拟图书馆发展策略应注重以技术融合促进底层支撑，以资源开发完善基础建设，以人才优化增加人力储备，以管理提升确保可持续发展。,https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8XubKztpqgWELHgqddch-LkatrSPG_-8kL7F8AsvPp6M_fJP0_tndcavl8VhWmWPTvCEaUMdLRuXFGAZZDziT05nsk0HB26UUhlYNNvHqBzYde01ZkBv7jNsH6rtwiy1V7Av1tLvHNAzg==&uniplatform=NZKPT&language=CHS,2024-06-28
60,后疫情时代图书馆事业的危机与发展——国际图联《2021年趋势报告》解读,冀威,山西省图书馆,2022-04-25,图书与情报,信息科技,图书情报与数字图书馆,0,187,国际图联; 趋势报告; 社会问题; 社会责任,2022年1月22日，国际图联（IFLA）正式发布《趋势报告》2021年更新版，这是新冠肺炎疫情发生以来IFLA中断更新后的首份《趋势报告》，也是疫情发生两年后对图书馆生存和发展环境的全新扫描，反映了全球图书馆界对自身发展方向和所处社会环境的宏观判断，对后疫情时代图书馆事业的规划和发展具有重要的现实意义。文章通过深入解读报告内容，分析报告特点，提出后疫情时代我国图书馆应强化社会责任理念，拓宽服务范围；提升解决社会问题“软技能”；消除服务中潜在的问题因素等建议，以期为我国图书馆事业发展提供参考。,https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8XubKztpqgWELHgqddch-LkatrSPG_-8kIsLmm-5Z69tERFbNo-FpNDUIFQ_DRXLocVivGq1QTUVjsJ7dZByaTdPd5YSlioU4i9DXErtjhhwbJYW2xNKvoUD3QJmVgb3QcagSqRoSo_Rg==&uniplatform=NZKPT&language=CHS,2024-06-28
61,图书馆应用人工智能的障碍与对策分析,邓李君;张晓梅;戴君琴,四川外国语大学图书馆,2022-04-15,图书馆工作与研究,信息科技,计算机软件及计算机应用;图书情报与数字图书馆,14,1011,人工智能; 图书馆; 应用; 障碍; 策略,文章基于人工智能及其发展现状，分析图书馆应用人工智能过程中面临的用户感知价值、数据伦理、实验应用转化方面的障碍，指出图书馆应以用户需求为基础、用户体验为依据，逐步应用人工智能；推进相关技术融合，促进组织管理革新，加强自身建设；以实用性为准则、创新性为思路，重点发展核心应用，不断优化人工智能在图书馆的应用。,https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8V2Qnt-eFL1ruYCG8Qml-f9VtzeMVvFKYLaf_kZWaA3MpS60acnqW0Ssi0RjPitj6JTk83bKTJtBPOaHPfpjOkdSxxA2QzNKjh81k8N63yzEspZAWNTQCRYf0EhjGWiyRMI8HR4RWX4wA==&uniplatform=NZKPT&language=CHS,2024-06-28
62,公共图书馆主题空间再造实践与思考——以江西省图书馆红色图书馆为例,刘景会,江西省图书馆,2022-04-15,图书馆工作与研究,信息科技,图书情报与数字图书馆,20,1138,主题空间; 空间再造; 公共图书馆; 红色图书馆,文章梳理公共图书馆主题空间再造研究与实践现状，结合江西省图书馆红色图书馆案例，分析公共图书馆主题空间再造的特点与存在的不足，提出科学规划，提高主题空间效能；技术赋能，提升主题空间体验；跨界合作，实现空间服务增值等公共图书馆主题空间再造策略。,https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8U5iBp_0UUObppsrWj29NQofOYCvT5JJZk0UuiEE5nIyNGGOZN474cmVDftTpxR5U4HPPMqxSeDPj4vGiS-AWsu6--MhrXcO25KA_IzE--ksJBixV9wY81rcDUmyzDTKYfkbLS9SrARoQ==&uniplatform=NZKPT&language=CHS,2024-06-28
63,图书馆与元宇宙：关系、功用与未来,张庆来;苏云,兰州大学管理学院,2022-04-08 17:10,图书与情报,信息科技,计算机软件及计算机应用;图书情报与数字图书馆,49,3094,元宇宙; 虚拟图书馆; 智慧图书馆; 知识服务,元宇宙概念一经提出就引起了各方热议，图书馆是否应该参与元宇宙建设，能够发挥哪些功用，便成了亟需探讨的问题。图书馆与元宇宙的演进受到了相同的技术体系驱动，一方面图书馆的资源与服务是元宇宙的重要构成要素，另一方面元宇宙为图书馆带来了新的发展机遇。在元宇宙中，图书馆可以作为元宇宙与现实世界之间的交流管道，充当不同元宇宙的“交通港”，通过评价服务推动元宇宙的健康发展，并提供元宇宙原生的资源与知识服务。图书馆可以在元宇宙建设的初期阶段、基本建成阶段和发展完善阶段发挥积极作用。,https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8U5iBp_0UUObppsrWj29NQofOYCvT5JJZn7iyXWz2TzYwMmNwsm-LLq3MQSvW67hseeeIur2BX4lCkmfWzFRxsHAU5YQKeMSA8aKXsgysG0tp3BIPLmTg90HrStbW8o9ladQukJ9tvHhQ==&uniplatform=NZKPT&language=CHS,2024-06-28
64,图书馆与元宇宙理论融合：内涵特征、体系结构与发展趋势,张兴旺;毕语馨;郑聪,1. 桂林理工大学旅游与风景园林学院2. 桂林理工大学图书馆,2022-04-08 17:10,图书与情报,信息科技,计算机软件及计算机应用;图书情报与数字图书馆,61,3616,元宇宙; 图书馆; 数字孪生; 虚实融合; 理论融合,元宇宙是当前互联网领域最炙手可热的焦点话题，为未来图书馆的建设和发展提供了启发式的理论、方法与技术。文章探讨了图书馆与元宇宙理论融合的缘起、内涵与特征，设计并构建了相应的体系结构，并分别从融合结构、要素、技术与能力等方面进行了阐释，进而对其发展趋势进行了分析。研究认为，图书馆元宇宙作为元宇宙的重要组成部分之一，能全面感知图书馆人、机、物、环境等要素及其彼此之间关联关系，实现图书馆物理世界与元宇宙空间的有效衔接。,https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8WM76ZycD0ebzYMVXLxQOgAIXFGv6tpdP7wD4-e62nBA6wQRqS5wwZA5CKfHqSZUPd54N3Sg6JzKNYlyMUyPfOlBwR5pDcyFTteSwSaaQbpYS6J0xJdlrVDd6NhabUOWhqjA1RY_VxRRA==&uniplatform=NZKPT&language=CHS,2024-06-28
65,从技术概念到研究议题：元宇宙图书馆走向何种未来,辛海霞,东莞职业技术学院图书馆,2022-04-08 17:10,图书与情报,信息科技,计算机软件及计算机应用;图书情报与数字图书馆,46,2388,元宇宙; 图书馆; 技术概念; 研究议题; 服务场景,2021年被誉为“元宇宙元年”，吸引了图书馆界对元宇宙的关注，其中元宇宙的概念及特征、图书馆融入元宇宙的可能性、元宇宙驱动的图书馆发展革新、元宇宙图书馆的价值及构建等内容，是图书馆界对元宇宙关注及讨论的主要议题。研究认为，作为技术概念的元宇宙将驱动图书馆资源、服务、架构及考评等变革创新，并吸引图书馆主动融入其中。元宇宙图书馆的构建主要分为数字化、网络化和智能化三个阶段，价值将在多个层面显现。,https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8WM76ZycD0ebzYMVXLxQOgAIXFGv6tpdP7wD4-e62nBA6wQRqS5wwZAesFcTFWrGiJav2lSUBGS0xmKuTXEUNcDs_s4B1ImX7lBuFFXjX7rThWxKXle2eXo2yDaQq0UL3P1I5_2j26lCA==&uniplatform=NZKPT&language=CHS,2024-06-28
66,我国新基建模式与公共图书馆融合发展契合价值分析研究,谢紫悦;王丹;陈雅,南京大学信息管理学院,2022-03-25,图书馆学研究,信息科技,图书情报与数字图书馆,0,405,新基建; 公共图书馆; 融合发展; 公共文化服务,新基建为公共图书馆的智慧化与智能化奠定技术基础、打通数据链路、创新发展环境，促进公共数字文化服务产业向更高质量的新业态发展，为公共图书馆融合发展提供创新路径。研究采用案例研究法，梳理我国公共图书馆与公共数字文化服务体系融合趋势，阐述新基建模式与公共图书馆在此过程中的契合价值，构建新基建模式下公共图书馆融合发展优化路径。基于此，公共图书馆以新基建为技术环境和创新抓手，通过政策导向的明确、软性服务体系的构建、数据赋能的可持续发展，来提升管理理念与转变服务样态，实现公共数字文化服务领域内基于新基建的公共图书馆融合发展。,https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8U9lMeifMngXE5Ck3k4MX0dW_GZ6pJWNMXcYuBByw-MRWaMkXr4aVLFItkpUbuaJBGZQHpHToN_tu0d3js3Y-cOkxpH582XVGZiSEnY2EB4Zl1h5Z5FPOuX07k4ICWlFsHjPxADLls1Wg==&uniplatform=NZKPT&language=CHS,2024-06-28
67,图书馆数字信任框架及其建构机制,袁红军,郑州师范学院图书馆,2022-03-25,图书馆学研究,信息科技,计算机软件及计算机应用;图书情报与数字图书馆,3,455,图书馆; 信任; 数字信任; 数字信任建构,数字时代改变了信任产生的社会情境，以人工智能、区块链等为代表的新一代信息技术催生了数字信任的产生。从信任的内涵入手，阐述图书馆数字信任的概念与内涵，结合当前图书馆信任危机的缘由，搭建图书馆数字信任框架，并探寻其作用机理，进而提出图书馆数字信任的建构机制，包含顶层设计数字信任制度建设机制、以数据为核心构建高效的数据信任流通机制、以人为本完善技术伦理治理机制等内容，推动图书馆数字信任建设进程的可持续发展。,https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8U9lMeifMngXE5Ck3k4MX0dW_GZ6pJWNMXcYuBByw-MRWaMkXr4aVLF40yV7E8xLgoS6NI0auDksf_4QXctRBDFYPac28pVr4dNL5LtxFc2w-2q5gre1oeTz3cg2Q9OD91151ma2MBYEQ==&uniplatform=NZKPT&language=CHS,2024-06-28
68,从数字图书馆到智慧图书馆,初景利;任娇菡;王译晗,中国科学院文献情报中心中国科学院大学经济与管理学院图书情报与档案管理系,2022-03-21,大学图书馆学报,信息科技,计算机软件及计算机应用;图书情报与数字图书馆,71,4947,数字图书馆; 智慧图书馆; 智慧服务; 知识服务,探究人工智能时代数字图书馆发展的新方向，推进国内智慧图书馆建设发展。剖析数字图书馆与智慧图书馆之间的联系与区别，为智慧图书馆建设提出发展要求，包括正视智能技术带来的机遇与挑战，保障持续变化的技术支撑；把握智慧图书馆的建设目标，稳步推进智慧图书馆建设发展；不断提升服务能力，强化图书馆的知识服务与智慧服务。智慧图书馆建设应始终围绕“需求牵引，技术驱动，服务主导，能力检验”这一基本原则，加快图书馆向智慧图书馆转型升级。,https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8X5sqB33MgF8ggOc57O_FaE_s1Xxlfw_23nHnRZnjkmVEk5xoNBoKc-1RAGmXZFX3z4jLah9tNHoVeqLHbZvznShA7E1qCziY8G_--ovA9LZQtemtTBlFUKROLUXSLuVDXuNdCrQc6lCg==&uniplatform=NZKPT&language=CHS,2024-06-28
69,高校图书馆知识服务发展新契机、新问题及新思考,许苗苗;邵波,1. 南京大学信息管理学院2. 南京大学图书馆,2022-03-20,新世纪图书馆,信息科技,图书情报与数字图书馆,10,1116,知识服务; 高校图书馆; 生命周期; 契机,在“双一流”建设及新技术环境下，知识服务体现着图书馆的综合运维能力，逐渐成为图书馆转型的重要抓手，但也在知识服务发展的进程中存在服务理念与用户满意度、用户需求与馆员专业能力、智能技术与资源呈现、生命周期与高品质服务之间的矛盾和问题。论文基于知识生命周期的认知，发现新时期学科服务建设及下一代图书馆服务平台的建立是促进图书馆知识服务内容和生态繁荣发展的关键所在，认为高校图书馆应贯彻“人性化”“主动性”的服务理念，注重图书馆员知识服务能力培养，深化服务与技术的融合并建立更加精细化的知识服务平台，真正将知识与服务结合起来，提供知识周期内化于整个业务流程的知识服务，才能推动图书馆不断创新。,https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8W5CnP7Zu69kH0FScxfmN9rOtUgsTRo3xVKH12AdabZjXzIeB7Z5hEiEkXCRQCGqRprLF_KZukelKF16DGG91GVq5NiHcpbs1ieJZnE6yMavGkZMhUKi9giH3NEXrtZcMv824mHdvz9BQ==&uniplatform=NZKPT&language=CHS,2024-06-28
70,转型期高校图书馆的人才需求趋势分析,杨世玲;刘彤彤;李笔浪,西北大学图书馆,2022-03-20,新世纪图书馆,信息科技,图书情报与数字图书馆,1,501,转型期; 高校图书馆; 人才需求,人才资源是高校图书馆的第一资源，同时也是其转型发展的核心驱动力，因此，研究转型期高校图书馆的人才需求对图书馆的高质量转型发展具有重要意义。论文以转型期高校图书馆的现实需求为切入点，结合高校图书馆现有的转型实践及信息技术在图书馆的应用现状，分析高校图书馆转型发展方向，同时分析近期高校图书馆招聘信息，以考察人才需求现状，在此基础上尝试预测未来高校图书馆的人才需求趋势。论文认为有三个趋势：馆员队伍向高学历、多学科、专业化方向转变；“一专多能”复合型人才成为主流；具备较强学习能力、创新能力将成为人才需求趋势。,https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8W5CnP7Zu69kH0FScxfmN9rOtUgsTRo3xVKH12AdabZjXzIeB7Z5hEiuxgFqSXPRkOEWbrQb4cGBeE1ws3hrSzywIXlLuE9_MHZwFD4t_ljh3XDSQAN_Os7m1T_7mBHaCFjDCibSjnKbw==&uniplatform=NZKPT&language=CHS,2024-06-28
